business_name,category,address,city,state,phone,maps_url,website_status,confirmed,source_batch,notes,place_geoid
Chris Cuts It,shop:hairdresser,138 Sherman Street,Deadwood,SD,605-578-1010,https://www.google.com/maps/search/?api=1&query=Chris%20Cuts%20It%2C%20138%20Sherman%20St%2C%20Deadwood%2C%20SD,no_website,likely,batch1,OSM + us-locations/directory listings at 138 Sherman. No company website in search.,4615700
Scarlet Tavern,amenity:pub,326 Harrison Avenue,Leadville,CO,,https://www.google.com/maps/search/?api=1&query=Scarlet%20Tavern%2C%20326%20Harrison%20Ave%2C%20Leadville%2C%20CO,facebook_only,yes,batch1,Visit Leadville listing with Google Map pin. Facebook/social only; no dedicated company site.,0844320
Casa Blanca Restaurant,amenity:restaurant,118 E 2nd Street,Leadville,CO,719-486-9969,https://www.google.com/maps/search/?api=1&query=Casa%20Blanca%20Restaurant%2C%20118%20E%202nd%20St%2C%20Leadville%2C%20CO,facebook_only,yes,batch1,Family-owned since 1975. Tourism listing + Facebook. No independent company website found.,0844320
Sea J's Cafe,amenity:cafe,2501 Washington Street,Port Townsend,WA,360-385-6312,https://www.google.com/maps/search/?api=1&query=Sea%20J%27s%20Cafe%2C%202501%20Washington%20St%2C%20Port%20Townsend%2C%20WA,no_website,yes,batch1,Seattle Magazine: 'It doesn't even have a website.' Apple Maps + Yelp (~176 reviews). OSM had no website tag.,5355855
Jim's Barber Shop,shop:hairdresser,211 Polk Street,Port Townsend,WA,+1 360-385-2266,https://www.google.com/maps/search/?api=1&query=Jim%27s%20Barber%20Shop%2C%20211%20Polk%20St%2C%20Port%20Townsend%2C%20WA,no_website,yes,batch1,MapQuest + Nextdoor listing. No company website in search.,5355855
Deanna's Hair Design,shop:hairdresser,213 Polk Street,Port Townsend,WA,360-385-2810,https://www.google.com/maps/search/?api=1&query=Deanna%27s%20Hair%20Design%2C%20Port%20Townsend%2C%20WA,no_website,likely,batch1,OSM hairdresser; local map/directory hits only. No company website found.,5355855
Big Wave Burritos,amenity:restaurant,605 Lafayette Street,Cape May,NJ,,https://www.google.com/maps/search/?api=1&query=Big%20Wave%20Burritos%2C%20Cape%20May%2C%20NJ,facebook_only,likely,batch1,OSM candidate. Public presence is Facebook (facebook.com/BigWaveBurritos). No company website found.,3410270
Michael's SALON,shop:hairdresser,2121 Boundary Street #107,Beaufort,SC,843-524-6555,https://www.google.com/maps/search/?api=1&query=Michael%27s%20Salon%2C%202121%20Boundary%20St%2C%20Beaufort%2C%20SC,no_website,yes,batch1,"Yelp + Fresha booking page (aggregator, not a company site). No owned domain found.",4504690
Isa's African Hair Braiding,shop:hairdresser,2265 Boundary Street #A,Beaufort,SC,843-379-3335,https://www.google.com/maps/search/?api=1&query=Isa%27s%20African%20Hair%20Braiding%2C%202265%20Boundary%20St%2C%20Beaufort%2C%20SC,no_website,yes,batch1,MapQuest local listing. No company website in search.,4504690
Best Nails,shop:beauty,2127 Boundary Street Ste 9,Beaufort,SC,+1 843-521-4688,https://www.google.com/maps/search/?api=1&query=Best%20Nails%2C%202127%20Boundary%20St%2C%20Beaufort%2C%20SC,no_website,yes,batch1,"MapQuest/Yelp listing. 'Website' on MapQuest is locality.com directory, not a company site.",4504690
Foxy Nail,shop:beauty,860 Parris Island Gateway #C3,Beaufort,SC,,https://www.google.com/maps/search/?api=1&query=Foxy%20Nail%2C%20860%20Parris%20Island%20Gateway%2C%20Beaufort%2C%20SC,no_website,likely,batch1,MapQuest listing. Unrelated foxynails.net is Kansas City. No Beaufort company site found.,4504690
The Donut Shop,amenity:cafe,501 John R. Junkin Drive,Natchez,MS,601-442-2317,https://www.google.com/maps/search/?api=1&query=The%20Donut%20Shop%2C%20501%20John%20R%20Junkin%20Dr%2C%20Natchez%2C%20MS,no_website,yes,batch1,Visit Natchez + MS health-dept record. No company website; tourism page is not a site.,2850440
Abyss Tattoo,shop:tattoo,12 1/2 South Main Street,Eureka Springs,AR,+1 479-253-5520,https://www.google.com/maps/search/?api=1&query=Abyss%20Tattoo%2C%2012%20S%20Main%20St%2C%20Eureka%20Springs%2C%20AR,no_website,yes,batch1,MapQuest/Yelp listing. MapQuest 'website' is tattooparlorreviews.com directory.,0522240
Missy's White Rabbit Lounge,amenity:bar,19 1/2 Spring Street,Eureka Springs,AR,479-265-7100,https://www.google.com/maps/search/?api=1&query=Missy%27s%20White%20Rabbit%20Lounge%2C%2019%201/2%20Spring%20St%2C%20Eureka%20Springs%2C%20AR,facebook_only,yes,batch1,MapQuest lists facebook.com/missyswhiterabbit as the only site. No company domain.,0522240
B-Side Cafe,amenity:cafe,121 Spring Street,Eureka Springs,AR,+1 573-777-2088,https://www.google.com/maps/search/?api=1&query=B-Side%20Cafe%2C%20121%20Spring%20St%2C%20Eureka%20Springs%2C%20AR,no_website,yes,batch1,Visit Eureka Springs listing has an empty Website field. Counter cafe inside MoJo's Records.,0522240
Eureka Daily Roast,amenity:cafe,27 Spring Street,Eureka Springs,AR,+1 479-253-2229,https://www.google.com/maps/search/?api=1&query=Eureka%20Daily%20Roast%2C%2027%20Spring%20St%2C%20Eureka%20Springs%2C%20AR,no_website,likely,batch1,Long-running local roastery. Travel blogs/Facebook; no owned company domain found.,0522240
Doc's Automotive,shop:car_repair,523 Paseo Del Pueblo Sur,Taos,NM,,https://www.google.com/maps/search/?api=1&query=Doc%27s%20Automotive%2C%20Taos%2C%20NM,no_website,yes,batch1,MapQuest local listing (hours Mon-Fri 9-5). No company website in search.,3576200
Ed Newberg Service,shop:car_repair,688 Indian River Road,Sitka,AK,,https://www.google.com/maps/search/?api=1&query=Ed%20Newberg%20Service%2C%20688%20Indian%20River%20Rd%2C%20Sitka%2C%20AK,no_website,likely,batch1,OSM around Sitka centroid missed downtown. MapQuest listing; no company website found.,0270540
Poh's Corner Pub,amenity:pub,164 N 3rd Avenue,Sturgeon Bay,WI,,https://www.google.com/maps/search/?api=1&query=Poh%27s%20Corner%20Pub%2C%20164%20N%203rd%20Ave%2C%20Sturgeon%20Bay%2C%20WI,no_website,yes,batch1,40-year local dive (Door County Pulse). No company website in search.,5577875
Dolly's Coin Laundry,amenity:laundry,39 North Washington Street,Gettysburg,PA,+1 717-337-3539,https://www.google.com/maps/search/?api=1&query=Dolly%27s%20Wash%20House%2C%2039%20N%20Washington%20St%2C%20Gettysburg%2C%20PA,no_website,yes,batch1,Also listed as Dolly's Wash House. Yelp/MapQuest. 'Website' is finduslocal.com directory.,4228960
Locke Studios Tattoo and Piercing,shop:tattoo,12 Baltimore Street,Gettysburg,PA,717-398-2241,https://www.google.com/maps/search/?api=1&query=Locke%20Studios%20Tattoo%20and%20Piercing%2C%2012%20Baltimore%20St%2C%20Gettysburg%2C%20PA,no_website,likely,batch1,Gettysburg Connection directory. No company website found.,4228960
Don Licho's Tire Shop,shop:tyres,843 AZ-92,Bisbee,AZ,520-727-1911,https://www.google.com/maps/place/?q=place_id:ChIJe5UaCqO10IYRRHhudDjiQIw,no_website,yes,batch1,Waze/Google place_id ChIJe5UaCqO10IYRRHhudDjiQIw. Birdeye cites a negocio.site GBP page (not a company website).,0406260
San Jose Laundry & Coffee Shop,amenity:laundry,1326 W Highway 92,Bisbee,AZ,+1 520-432-9148,https://www.google.com/maps/search/?api=1&query=Bisbee%20Laundry%20%26%20Cafe%2C%201326%20W%20Highway%2092%2C%20Bisbee%2C%20AZ,no_website,yes,batch1,MapQuest as Bisbee Laundry & Cafe. No website link on the listing; no company domain found.,0406260
Carnell's Restaurant,amenity:restaurant,105 W John C Stennis Dr,Louisville,MS,662-705-0495,https://www.google.com/maps/search/?api=1&query=Carnell%27s%20Restaurant%2C%20105%20W%20John%20C%20Stennis%20Dr%2C%20Louisville%2C%20MS,facebook_only,yes,batch2,MapQuest listing; website field is facebook.com/carnellsrestaurant. MS health-dept record open. Chamber page is not a company site.,2842280
Heard's Collision and Repair Center,shop:car_repair,16127 W Main St,Louisville,MS,662-773-9971,https://www.google.com/maps/search/?api=1&query=Heard%27s%20Collision%20Repair%2C%2016127%20W%20Main%20St%2C%20Louisville%2C%20MS,no_website,yes,batch2,MapQuest local listing (hours). Directories only; no company domain found.,2842280
Raspberry Beret,shop:second_hand,503 N Church Ave,Louisville,MS,662-437-9000,https://www.google.com/maps/search/?api=1&query=Raspberry%20Beret%2C%20503%20N%20Church%20Ave%2C%20Louisville%2C%20MS,no_website,yes,batch2,Consignment shop (OSM tagged hairdresser). MapQuest listing. CMac.ws Website: N/A. raspberryberet.us is a different Cambridge MA chain. Facebook exists but is not a company site.,2842280
El Rodeo Mexican Restaurant,amenity:restaurant,417 N Church Ave #A,Louisville,MS,662-773-9222,https://www.google.com/maps/search/?api=1&query=El%20Rodeo%20Mexican%20Restaurant%2C%20417%20N%20Church%20Ave%2C%20Louisville%2C%20MS,no_website,yes,batch2,"MapQuest listing. elrodeomexicanrestaurant.com is a Pennsylvania chain, not this shop. Chamber listing has no company site.",2842280
Bulldog Cleaners,shop:dry_cleaning,501 N Church Ave,Louisville,MS,662-773-7367,https://www.google.com/maps/place/?q=place_id:ChIJ35_N-fdegYgR6eL548xN9ts,no_website,yes,batch2,Google Place ID ChIJ35_N-fdegYgR6eL548xN9ts. MapQuest listing with no company website.,2842280
Western Auto & Appliance,shop:hardware,16211 W Main St,Louisville,MS,662-773-6291,https://www.google.com/maps/search/?api=1&query=Western%20Auto%20%26%20Appliance%2C%2016211%20W%20Main%20St%2C%20Louisville%2C%20MS,facebook_only,yes,batch2,Independent leftover Western Auto store (Husqvarna dealer). MapQuest listing. Public presence is facebook.com/westernautolouisville; no owned domain.,2842280
D & D Repair,shop:car_repair,513 W Watson St,Lewistown,MT,406-535-5323,https://www.google.com/maps/search/?api=1&query=D%20%26%20D%20Repair%2C%20513%20W%20Watson%20St%2C%20Lewistown%2C%20MT,no_website,yes,batch2,OSM around centroid missed this shop. MapQuest listing (MQ 'website' is unrelated wheelingeyecare.com junk). Loc8NearMe Google-style reviews 2025. Directory: web site unknown.,3043375
BonTon Barber Shop,shop:hairdresser,312 W Main St,Lewistown,MT,,https://www.google.com/maps/search/?api=1&query=BonTon%20Barber%20Shop%2C%20312%20W%20Main%20St%2C%20Lewistown%2C%20MT,facebook_only,likely,batch2,Newly opened 2026 in the historic Bon Ton building (Lewistown News). Downtown directory listing. Facebook page; no company website. OSM downtown coverage was thin.,3043375
Dave's Diner,amenity:restaurant,390 Brunswick Ave,Gardiner,ME,207-588-0022,https://www.google.com/maps/search/?api=1&query=Dave%27s%20Diner%2C%20390%20Brunswick%20Ave%2C%20Gardiner%2C%20ME,facebook_only,yes,batch2,MapQuest 'website' is davesdiner.food37.com aggregator. Sluurpy lists facebook.com/davesdinerme. Restaurantji ~214 reviews. No owned domain.,2327085
Z Market,shop:convenience,288 Lewiston Rd,Gardiner,ME,207-582-5721,https://www.google.com/maps/search/?api=1&query=Z%20Market%2C%20288%20Lewiston%20Rd%2C%20Gardiner%2C%20ME,no_website,likely,batch2,MapQuest convenience-store listing with phone/address and no company website. Unrelated Gardiner markets have their own sites.,2327085
Body Renewal Salon & Spa,shop:beauty,706 Wollard Blvd,Richmond,MO,816-615-7200,https://www.google.com/maps/search/?api=1&query=Body%20Renewal%20Salon%20%26%20Spa%2C%20706%20Wollard%20Blvd%2C%20Richmond%2C%20MO,facebook_only,yes,batch2,MapQuest + Nextdoor + BestProsInTown (Google-style reviews). Public site is Facebook. No owned domain.,2961670
Tequila Jalisco Mexican Restaurant,amenity:restaurant,620 S Institute St,Richmond,MO,816-776-3981,https://www.google.com/maps/search/?api=1&query=Tequila%20Jalisco%20Mexican%20Restaurant%2C%20620%20S%20Institute%20St%2C%20Richmond%2C%20MO,facebook_only,yes,batch2,MapQuest listing. Restaurantji ~140 reviews. Facebook is the public site. edan.io is an aggregator.,2961670
Bark Bargains Thrift Shop,shop:charity,105 E Main St #1,Richmond,MO,,https://www.google.com/maps/search/?api=1&query=Bark%20Bargains%20Thrift%20Shop%2C%20105%20E%20Main%20St%2C%20Richmond%2C%20MO,no_website,likely,batch2,Loc8NearMe listing with 2023-2025 reviews; supports local animal rescue. No company website. OSM address differed (112 S College); directory uses 105 E Main.,2961670
Mis Amores Mexican Restaurant,amenity:restaurant,36 N State St,Preston,ID,208-852-7133,https://www.google.com/maps/search/?api=1&query=Mis%20Amores%20Mexican%20Restaurant%2C%2036%20N%20State%20St%2C%20Preston%2C%20ID,facebook_only,yes,batch2,Chamber 'website' is a Google business.site GBP page. Sluurpy lists facebook.com/MISAMORESRESTURAUNT. No owned domain.,1665260
Harris Collision Repair and Glass,shop:car_repair,116 S State St,Preston,ID,208-852-1202,https://www.google.com/maps/search/?api=1&query=Harris%20Collision%20Repair%20and%20Glass%2C%20116%20S%20State%20St%2C%20Preston%2C%20ID,no_website,yes,batch2,OSM name Harris Auto Body. Carwise + Preston Chamber. Directory web site unknown. harrisautobodyllc.com is an unrelated Oakfield NY shop.,1665260
Owl Club,amenity:bar,16 S State St,Preston,ID,208-852-3710,https://www.google.com/maps/place/?q=place_id:ChIJBcqAuev3VIcREleUHiDca9E,no_website,yes,batch2,Google Place ID ChIJBcqAuev3VIcREleUHiDca9E. Directory web site unknown. owlclub.net is unrelated.,1665260
Split-Ends Hair Styling Salon,shop:hairdresser,503 6th Ave,Dayton,KY,859-491-0084,https://www.google.com/maps/search/?api=1&query=Split-Ends%20Hair%20Styling%20Salon%2C%20503%206th%20Ave%2C%20Dayton%2C%20KY,no_website,yes,batch2,ZipLeaf Website-Not Available. Loc8NearMe reviews. Independent since ~1994. No company domain.,2120350
The Salon Shop & Brow Bar,shop:hairdresser,513 6th Ave,Dayton,KY,859-307-7576,https://www.google.com/maps/search/?api=1&query=The%20Salon%20Shop%20%26%20Brow%20Bar%2C%20513%206th%20Ave%2C%20Dayton%2C%20KY,no_website,yes,batch2,MapQuest listing. Birdeye aggregates Google reviews. theshopsalon.com is an unrelated DC/MD chain.,2120350
Tony's Ole Saloon,amenity:bar,613 Berry St,Dayton,KY,859-261-7777,https://www.google.com/maps/search/?api=1&query=Tony%27s%20Ole%20Saloon%2C%20613%20Berry%20St%2C%20Dayton%2C%20KY,no_website,likely,batch2,Hubbiz/MenuPix/Sluurpy listings. No company website found. Not the LA Arts District namesake.,2120350
Deb's Place Restaurant,amenity:restaurant,150 Main St,Danielson,CT,860-779-9797,https://www.google.com/maps/search/?api=1&query=Deb%27s%20Place%20Restaurant%2C%20150%20Main%20St%2C%20Danielson%2C%20CT,facebook_only,yes,batch2,Sluurpy updated Jun 2026 lists facebook.com/Debs-Place-Restaurant-173887732706397. A 2021 article said it would close; 2026 directories still list it open. No owned domain.,0918780
Maury's Pub,amenity:pub,75 Main St,Danielson,CT,860-412-9028,https://www.google.com/maps/search/?api=1&query=Maury%27s%20Pub%2C%2075%20Main%20St%2C%20Danielson%2C%20CT,facebook_only,yes,batch2,BeerMenus lists facebook.com/MaurysPubCT as the only site. No company domain.,0918780
Danielson Auto Repair,shop:car_repair,7 Commerce Ave,Danielson,CT,860-779-0580,https://www.google.com/maps/search/?api=1&query=Danielson%20Auto%20Repair%2C%207%20Commerce%20Ave%2C%20Danielson%2C%20CT,no_website,likely,batch2,"AllBiz: no website listed, Facebook only. Directory web site unknown. Independent, not Mike Smith Transmissions.",0918780
Hair Envy Salon,shop:beauty,215 Main St,Wayne,NE,402-833-1100,https://www.google.com/maps/search/?api=1&query=Hair%20Envy%20Salon%2C%20215%20Main%20St%2C%20Wayne%2C%20NE,no_website,yes,batch2,"MapQuest 'website' is vagaro.com/HairEnvySalon (booking aggregator, not a company site). No owned domain.",3151840
Geno's Steakhouse & Lounge,amenity:restaurant,121 W 1st St,Wayne,NE,531-519-6111,https://www.google.com/maps/search/?api=1&query=Geno%27s%20Steakhouse%2C%20121%20W%201st%20St%2C%20Wayne%2C%20NE,facebook_only,yes,batch2,New owners 2023 kept the Geno's name (Norfolk Daily News). Reservations via Facebook. genossteakhouse.netwaiter.com is an aggregator. Also listed as Pearl Street Steakhouse & Lounge on some sites.,3151840
Exhaust Pros & Lightning Lube,shop:car_repair,213 W 1st St,Wayne,NE,402-375-5370,https://www.google.com/maps/search/?api=1&query=Exhaust%20Pros%20%26%20Lightning%20Lube%2C%20213%20W%201st%20St%2C%20Wayne%2C%20NE,no_website,likely,batch2,"Wayne Daily News directory listing. exhaustproswayne.com appears unused; exhaustprostotalcarcare.com looks like a different shop. Independent, not a national chain.",3151840
Hair Designs,shop:hairdresser,103 S Main St,Woodruff,SC,864-476-9228,https://www.google.com/maps/search/?api=1&query=Hair%20Designs%2C%20103%20S%20Main%20St%2C%20Woodruff%2C%20SC,no_website,yes,batch2,MapQuest listing. CMac.ws Website: N/A. No company domain found.,4579090
Hatz Off Grooming Lounge,shop:hairdresser,211 S Main St,Woodruff,SC,,https://www.google.com/maps/search/?api=1&query=Hatz%20Off%20Grooming%20Lounge%2C%20211%20S%20Main%20St%2C%20Woodruff%2C%20SC,no_website,yes,batch2,"Booksy booking page only (aggregator, not a company site). BestProsInTown reviews. No owned domain.",4579090
Magnificent Nails & Spa,shop:beauty,916 S Main St,Woodstock,VA,540-459-2122,https://www.google.com/maps/search/?api=1&query=Magnificent%20Nails%20%26%20Spa%2C%20916%20S%20Main%20St%2C%20Woodstock%2C%20VA,facebook_only,yes,batch2,Birdeye aggregates ~94 Google reviews. edan.io is an aggregator. Facebook/directories only; no owned domain.,5187712
